,Unnamed: 0,Text,Pronoun,Pronoun-offset,Answer,Answer-offset,Possible answers
0,0,"After the war, Herbert attended the University of Washington, where he met Beverly at a creative writing class in 1946 .",he,67,Herbert,67,"['Herbert', 'Beverly']"
1,1,Herbert was appalled to learn of senator McCarthy's blacklisting of suspected communists from working in certain careers and believed that he was endangering essential freedoms of citizens of the United States .,he,138,Herbert,138,"['Herbert', 'McCarthy']"
2,2,"Herbert has attracted a sometimes fanatical fan base, many of whom have tried to read everything he wrote, fiction or non-fiction, and see Herbert as something of an authority on the subject matters of his books .",he,96,Herbert,96,"['Herbert', 'Herbert']"
3,3,"In 1887, after the death of his brother and a brief stay in London, young Norris went to Acad mie Julian in Paris where he studied painting for two years and was exposed to the naturalist novels of mile Zola .",he,119,Julian,119,"['Norris', 'Julian', 'Zola']"
4,4,"The publication of Buechner's third novel, The Return of Ansel coincided with Buechner's ordination and move to Exeter, where he began to publish non-fiction .",he,125,Buechner,125,"['Buechner', 'Buechner']"
5,5,"Concurrent with Buechner's delivery of the Noble Lectures, he developed the most significant character of his later career, Leo .",he,58,Buechner,58,"['Buechner', 'Leo']"
6,6,"In 1982, author Reynolds greeted Buechner's The Sacred Journey as ""a rich new vein for Buechner a kind of detective autobiography"" and "" he result is a short but fascinating and, in its own terms, beautifully successful experiment .",he,136,Buechner,136,"['Reynolds', 'Buechner', 'Buechner']"
7,7,"Mistral was born in Vicu a, Chile, but was raised in the small Andean village of Montegrande, where she attended a primary school taught by her older sister, Emelina .",she,99,Mistral,99,"['Mistral', 'Emelina']"
8,8,"The poet Pablo, Chile's second Nobel Prize recipient, met Mistral when she moved to his hometown of Temuco .",she,70,Pablo,70,"['Pablo', 'Mistral']"
9,9,"Gullberg continues to pay homage to Gabriela, who he says has become the great singer of sorrow and motherhood for Latin America .",he,49,Gabriela,49,"['Gullberg', 'Gabriela']"
10,10,"After meeting the Marchesa in 1903, he began a lifelong turbulent on again-off again affair with Luisa, that lasted until a few years before his death .",he,35,Marchesa,35,"['Marchesa', 'Luisa']"
11,11,"Although D'Annunzio had a strong influence on the ideology of Benito, he never became directly involved in fascist government politics in Italy .",he,69,D'Annunzio,69,"[""D'Annunzio"", 'Benito']"
12,12,"Before the March on Rome, De even went so far as to depict the Fascist movement as: ""a filthy pawn in Mister's game of chess, and made out of the least dignified section of the bourgeoisie"" D'Annunzio was seriously injured when he fell out of a window on 13 August 1922; subsequently the planned ""meeting for national pacification"" with Francesco and Mussolini was cancelled .",he,227,D'Annunzio,227,"['De', 'Mister', ""D'Annunzio"", 'Francesco', 'Mussolini']"
13,13,"As Cole's salary increased and he was able to support the family, Godwin's mother focused on being a wife and homemaker, eventually not writing at all .",he,30,Cole,30,"['Cole', 'Godwin']"
14,14,"While in England, Godwin took a course in creative writing at the City Literature Institute, where she met her second husband, psychiatrist Ian .",she,98,Godwin,98,"['Godwin', 'Ian']"
15,15,"In 2001, Godwin's partner, Robert, died and she began writing a fictional story based on their life called Evenings at Five that was published two years later .",she,43,Robert,43,"['Godwin', 'Robert']"
16,16,"Alia of the Knife, Alia is considered an Abomination by the Bene because of the unique nature of her birth, and as a result she possesses the consciousness of an adult Bene .",she,123,Alia,123,"['Alia', 'Alia']"
17,17,"The Fremen woman Harah notices that four-year-old Alia ""only pretends to be a little girl, that she has never been a little girl . """,she,95,Harah,95,"['Harah', 'Alia']"
18,18,"Jessica, despite her awareness of this likelihood, brings her baby to term, and Alia slowly learns to control the powers she has been granted as Reverend Mother and sister of the Kwisatz .",she,120,Jessica,120,"['Jessica', 'Alia', 'Mother']"
19,19,"Alia is recreated as a ghola on the no-ship Ithaca; in an attempt to grow Alia exactly as she had been in life, the axlotl tank is flooded with a near-lethal dose of the spice melange .",she,89,Alia,89,"['Alia', 'Alia']"
20,20,"As Murbella amasses weaponry for the coming battle with the unknown enemy, she trains an elite force of commando troops with the combined battle talents of Bene, Honored, and even the Swordmasters of Ginaz .",she,74,Murbella,74,"['Murbella', 'Honored']"
